schema_version,operation,phase,profile,trial,wall_seconds,user_seconds,system_seconds,peak_rss_bytes,time_backend,platform,status
1,input-preparation,setup,o2,0,46.92,57.52,3.53,1258819584,gnu,Linux-x86_64,complete
1,gcc-consumer-tool,setup,o2,0,41.22,129.75,4.12,1493667840,gnu,Linux-x86_64,complete
1,gcc-producer-tool,setup,o2,0,18.21,45.46,3.20,1264017408,gnu,Linux-x86_64,complete
1,maintained-consumer-tool,setup,o2,0,28.65,0.14,0.11,57905152,gnu,Linux-x86_64,complete
1,gcc-certificate-production,producer,o2,0,19.24,19.23,0.00,9859072,gnu,Linux-x86_64,complete
1,gcc-consumer,measured,o2,1,0.06,0.06,0.00,8720384,gnu,Linux-x86_64,complete
1,maintained-consumer,measured,o2,1,4.95,1.80,0.21,67084288,gnu,Linux-x86_64,complete
1,gcc-consumer,measured,o2,2,0.06,0.06,0.00,8699904,gnu,Linux-x86_64,complete
1,maintained-consumer,measured,o2,2,4.95,1.78,0.23,67084288,gnu,Linux-x86_64,complete
1,gcc-consumer,measured,o2,3,0.06,0.06,0.00,8761344,gnu,Linux-x86_64,complete
1,maintained-consumer,measured,o2,3,4.97,1.78,0.24,67129344,gnu,Linux-x86_64,complete
1,gcc-consumer,measured,o2,4,0.06,0.06,0.00,8699904,gnu,Linux-x86_64,complete
1,maintained-consumer,measured,o2,4,4.97,1.79,0.22,67125248,gnu,Linux-x86_64,complete
1,gcc-consumer,measured,o2,5,0.06,0.06,0.00,8728576,gnu,Linux-x86_64,complete
1,maintained-consumer,measured,o2,5,4.95,1.79,0.22,67104768,gnu,Linux-x86_64,complete
