schema_version,input_sha256,contract_sha256,bad_output,horizon,relevant_inputs,latches,phases,trial,producer_ns,proof_generation_ns,proof_verification_ns,obligations,witnesses,proof_bytes,status
1,3382796781b1f507912bc40eb7648d2590e96e183bbe119987345d0ce52b09cd,499317b6eca59bd3852ad4c516a2944515e86d639803ca9fd59a481512286958,0,16,12,3,2,0,3876000,672959,528042,17,136,11408,ok
1,3382796781b1f507912bc40eb7648d2590e96e183bbe119987345d0ce52b09cd,499317b6eca59bd3852ad4c516a2944515e86d639803ca9fd59a481512286958,0,16,12,3,2,1,3942000,384042,328209,17,136,11408,ok
1,3382796781b1f507912bc40eb7648d2590e96e183bbe119987345d0ce52b09cd,499317b6eca59bd3852ad4c516a2944515e86d639803ca9fd59a481512286958,0,16,12,3,2,2,4360292,374292,326000,17,136,11408,ok
1,3382796781b1f507912bc40eb7648d2590e96e183bbe119987345d0ce52b09cd,499317b6eca59bd3852ad4c516a2944515e86d639803ca9fd59a481512286958,0,16,12,3,2,3,3836584,345250,313375,17,136,11408,ok
1,3382796781b1f507912bc40eb7648d2590e96e183bbe119987345d0ce52b09cd,499317b6eca59bd3852ad4c516a2944515e86d639803ca9fd59a481512286958,0,16,12,3,2,4,4189583,370250,327750,17,136,11408,ok
1,3382796781b1f507912bc40eb7648d2590e96e183bbe119987345d0ce52b09cd,499317b6eca59bd3852ad4c516a2944515e86d639803ca9fd59a481512286958,0,16,12,3,2,5,3805416,353083,448250,17,136,11408,ok
1,3382796781b1f507912bc40eb7648d2590e96e183bbe119987345d0ce52b09cd,499317b6eca59bd3852ad4c516a2944515e86d639803ca9fd59a481512286958,0,16,12,3,2,6,4498375,381209,348792,17,136,11408,ok
1,3382796781b1f507912bc40eb7648d2590e96e183bbe119987345d0ce52b09cd,499317b6eca59bd3852ad4c516a2944515e86d639803ca9fd59a481512286958,0,16,12,3,2,7,4542333,376125,351250,17,136,11408,ok
1,3382796781b1f507912bc40eb7648d2590e96e183bbe119987345d0ce52b09cd,499317b6eca59bd3852ad4c516a2944515e86d639803ca9fd59a481512286958,0,16,12,3,2,8,3881625,394250,433459,17,136,11408,ok
1,3382796781b1f507912bc40eb7648d2590e96e183bbe119987345d0ce52b09cd,499317b6eca59bd3852ad4c516a2944515e86d639803ca9fd59a481512286958,0,16,12,3,2,9,4415208,483083,508375,17,136,11408,ok
