schema_version,operation,phase,profile,trial,wall_seconds,user_seconds,system_seconds,peak_rss_bytes,time_backend,platform,status
1,input-preparation,setup,o2,0,8.04,7.03,0.12,41697280,bsd,Darwin-arm64,complete
1,gcc-consumer-tool,setup,o2,0,21.33,91.93,5.34,2028158976,bsd,Darwin-arm64,complete
1,gcc-producer-tool,setup,o2,0,12.68,33.15,3.52,1051017216,bsd,Darwin-arm64,complete
1,maintained-consumer-tool,setup,o2,0,28.51,0.11,0.11,52150272,bsd,Darwin-arm64,complete
1,gcc-certificate-production,producer,o2,0,10.94,10.36,0.12,10452992,bsd,Darwin-arm64,complete
1,gcc-consumer,measured,o2,1,0.04,0.04,0.00,11436032,bsd,Darwin-arm64,complete
1,maintained-consumer,measured,o2,1,3.13,1.11,0.13,67928064,bsd,Darwin-arm64,complete
1,gcc-consumer,measured,o2,2,0.04,0.03,0.00,9371648,bsd,Darwin-arm64,complete
1,maintained-consumer,measured,o2,2,2.86,1.12,0.14,68370432,bsd,Darwin-arm64,complete
1,gcc-consumer,measured,o2,3,0.04,0.03,0.00,7258112,bsd,Darwin-arm64,complete
1,maintained-consumer,measured,o2,3,3.03,1.13,0.14,68272128,bsd,Darwin-arm64,complete
1,gcc-consumer,measured,o2,4,0.04,0.03,0.00,9371648,bsd,Darwin-arm64,complete
1,maintained-consumer,measured,o2,4,2.81,1.13,0.14,68009984,bsd,Darwin-arm64,complete
1,gcc-consumer,measured,o2,5,0.04,0.03,0.00,7307264,bsd,Darwin-arm64,complete
1,maintained-consumer,measured,o2,5,2.81,1.09,0.14,68042752,bsd,Darwin-arm64,complete
