width,horizon,variables,clauses,queries,max_bound_bits,frontier_bound_bits,admitted,peak_classes,total_layer_states,compile_ns,quotient_ns_per_query,kernel_ns_per_query,incremental_varisat_ns_per_query,quotient_speedup_vs_incremental,kernel_speedup_vs_incremental,quotient_break_even_queries,sat_queries,unsat_queries,agreement,kernel_agreement,witnesses_valid,kernel_witnesses_valid
10,10,110,200,100,12,11,true,1025,104548,311959,128304.580,175.840,872.090,0.006797,4.959566,340282366920938463463374607431768211455,21,79,true,true,true,true
10,100,1010,2000,100,12,11,true,1025,1027048,2486833,4151714.160,795.840,7212.920,0.001737,9.063279,340282366920938463463374607431768211455,22,78,true,true,true,true
