kind,width,horizon,variables,clauses,queries,checkpoint,node_limit,recognition_ns,bdd_prefix_nodes,checkpoint_ns_per_query,full_cdcl_ns_per_query,speedup_vs_full,sat_queries,unsat_queries,agreement,witnesses_valid,status
cascade4,9,137,1242,19728,50,20,200000,94084208,85761,533658245.000,10185392.500,0.019086,38,12,true,true,ok
cascade4,9,1333,12006,191952,50,20,200000,99410167,85761,489095698.340,81538009.160,0.166712,44,6,true,true,ok
