schema_version,operation,trial,elapsed_seconds,peak_rss_bytes,artifact_bytes,time_backend,operating_system,architecture,artifact_sha256,logical_queries,status
1,certify,1,3.75,51314688,4899434,gnu,Linux,x86_64,9ca8d6bdb0ee10877a29711fbb518810b28908b64b831283db5e2db3688ecf4a,42,ok
1,verify,1,0.68,51658752,4899434,gnu,Linux,x86_64,9ca8d6bdb0ee10877a29711fbb518810b28908b64b831283db5e2db3688ecf4a,42,ok
1,certify,2,3.70,51421184,4899434,gnu,Linux,x86_64,9ca8d6bdb0ee10877a29711fbb518810b28908b64b831283db5e2db3688ecf4a,42,ok
1,verify,2,0.72,50495488,4899434,gnu,Linux,x86_64,9ca8d6bdb0ee10877a29711fbb518810b28908b64b831283db5e2db3688ecf4a,42,ok
1,certify,3,3.70,51560448,4899434,gnu,Linux,x86_64,9ca8d6bdb0ee10877a29711fbb518810b28908b64b831283db5e2db3688ecf4a,42,ok
1,verify,3,0.68,51871744,4899434,gnu,Linux,x86_64,9ca8d6bdb0ee10877a29711fbb518810b28908b64b831283db5e2db3688ecf4a,42,ok
