schema_version,mode,trials,concurrency,producer_containers_per_trial,checker_containers_per_trial,model_bytes,evidence_bytes,median_synthesis_seconds,median_producer_orchestration_seconds,median_total_producer_seconds,median_checker_orchestration_seconds,median_synthesis_peak_rss_bytes,median_producer_child_peak_rss_bytes,median_checker_child_peak_rss_bytes,model_set_sha256,evidence_set_sha256,status
1,single-container-sequential,5,1,1,1,10402,5077,0.55,0.335,0.89,0.905,22675456,8105984,4771840,1e9c81c03f78b32b266c5d367cf484c1e56deba0808d1c4c59d460cb47d65e0e,d38d815128058d44282c2a34b6c9a1e84cf02cb9a337e5e8a7206576a97da90f,qualified-maintained-single-container-median
1,single-container-parallel-4,5,4,1,1,10402,5077,0.56,0.251,0.81,0.761,22659072,8015872,4825088,1e9c81c03f78b32b266c5d367cf484c1e56deba0808d1c4c59d460cb47d65e0e,d38d815128058d44282c2a34b6c9a1e84cf02cb9a337e5e8a7206576a97da90f,qualified-maintained-single-container-median
