schema_version,revision,result,bad_frame,retained_environment,independent_oracle,status
1,34157c7afb84a7be7b1b1250d673f9fa8a3c18ce,SAFE,none,false,Yosys-Z3,accepted
1,369cffc85db0e6d5a667676a6f89987b94210e70,UNSAFE,0,true,Yosys-Z3,accepted
