schema_version,revision,source_sha256,configuration,sequential_equivalence,status
1,34157c7afb84a7be7b1b1250d673f9fa8a3c18ce,a864392c228b1d4f4a6b4dc3baae21db3fb3afa2869d440a72623cfc9a061a45,Width=2+OutSelDnCnt=1+CrossCnt,PASS,accepted
1,369cffc85db0e6d5a667676a6f89987b94210e70,f7256b26530637658956353adf2fa99bc4fdfd25ffcc44474f62138d9cd7d78b,Width=2+OutSelDnCnt=1+CrossCnt,PASS,accepted
