schema_version,horizon,property,expected_answer,external_answer,earliest_bad_frame,producer_engine,model_bytes,evidence_bytes,deterministic,independently_verified,status
1,2,t1,SAFE,UNSAT,none,ic3,14164,14536,true,true,validated
1,2,t2,SAFE,UNSAT,none,ic3,14164,14547,true,true,validated
1,2,fatal,SAFE,UNSAT,none,ic3,14164,14547,true,true,validated
1,3,t1,UNSAFE,SAT,3,bmc,14137,88,true,true,validated
1,3,t2,SAFE,UNSAT,none,ic3,14137,14563,true,true,validated
1,3,fatal,SAFE,UNSAT,none,ic3,14137,14563,true,true,validated
1,5,t1,UNSAFE,SAT,3,bmc,14151,88,true,true,validated
1,5,t2,UNSAFE,SAT,5,bmc,14151,94,true,true,validated
1,5,fatal,UNSAFE,SAT,5,bmc,14151,94,true,true,validated
