schema_version,member,tool,tool_revision,source_sha256,recipe_sha256,model_sha256,regenerated_sha256,byte_match,status
1,0,yosys,b8e7da6f40ae8f552c116bf6c359b07c6533e159,edf0cf5a5b6371b945731fe941f43bf4ffec84b9916fe1a18830f1bcadd398b7,59493b5a5013b3913178395584134fff48fded40f152bb05ec45503964fb985c,42654f35ed3183ad61c612ddee993b4ded88cc544d82a66831eb3070a89e9524,42654f35ed3183ad61c612ddee993b4ded88cc544d82a66831eb3070a89e9524,true,attested
1,1,yosys,b8e7da6f40ae8f552c116bf6c359b07c6533e159,ac4910807d94dbd903762bfd6e034cfa7ccd8579b248d81cb6c0104c243308a8,e9d937c210f664dbe16fd9ded093cf720b36589d2be0499883861124ac6a5f37,2a923191108d1fab759ca35403eaf253130356fc94b488f799249a99e20c304f,2a923191108d1fab759ca35403eaf253130356fc94b488f799249a99e20c304f,true,attested
