schema_version,case,horizon,gcc_answer,gcc_bad_frame,symbiyosys_status,symbiyosys_bad_step,agreement,status
1,safe-water-fault,32,SAFE,,PASS,,true,ok
1,unsafe-fill-only,32,UNSAFE,10,FAIL,10,true,ok
