schema_version,model,horizon,trials,explicit_bytes,braking_bytes,explicit_verify_median_micros,braking_verify_median_micros,verify_speedup,status
1,braking-controller,255,21,1180313,386,38958,25,1558.32,ok
1,motor-emergency-stop,159,21,453342,386,15250,25,610.00,ok
