kind,width,horizon,variables,clauses,queries,checkpoint,node_limit,encoding,recognition_ns,bdd_prefix_nodes,encoding_nodes,encoding_clauses,checkpoint_ns_per_query,full_cdcl_ns_per_query,speedup_vs_full,sat_queries,unsat_queries,agreement,witnesses_valid,status
cascade4,9,137,1242,19728,50,10,200000,aig,47035292,41299,83971,251913,192404691.660,9875228.320,0.051325,38,12,true,true,ok
cascade4,9,1333,12006,191952,50,10,200000,aig,71653000,41299,83971,251913,376601945.840,83153946.660,0.220801,44,6,true,true,ok
