kind,width,horizon,variables,clauses,queries,checkpoint,node_limit,recognition_ns,bdd_prefix_nodes,checkpoint_ns_per_query,full_cdcl_ns_per_query,speedup_vs_full,sat_queries,unsat_queries,agreement,witnesses_valid,status
cascade4,9,137,1242,19728,50,10,200000,43598792,41299,131355825.000,10192447.500,0.077594,38,12,true,true,ok
cascade4,9,1333,12006,191952,50,10,200000,67102375,41299,226248955.820,85796083.340,0.379211,44,6,true,true,ok
