schema_version,query_index,horizon,bad_side,bad_output,old_result,new_result,transition_class,certificate_bytes,parsed_evidence_bytes,semantic_replays,component_validations,composed_pair_checks,final_transition_checks,result_comparisons,synthesis_elapsed_seconds,producer_elapsed_seconds,total_producer_elapsed_seconds,checker_elapsed_seconds,synthesis_peak_rss_bytes,producer_peak_rss_bytes,total_producer_peak_rss_bytes,checker_peak_rss_bytes,time_backend,certificate_sha256,deterministic,status
2,0,0,left,2,UNSAFE,UNSAFE,unchanged-unsafe,56632691,56632176,8,16,1310720,16,8,0.10,2.93,3.03,0.79,16334848,324780032,324780032,270581760,bsd,8880f1ac6b8f62d8198b73d96adbf99469823358a104049b70564dd41b5dec76,true,accepted
2,1,0,right,1000,UNSAFE,SAFE,unsafe-to-safe,56632691,56632176,8,16,1310720,16,8,0.10,2.93,3.03,0.79,16334848,324780032,324780032,270581760,bsd,8880f1ac6b8f62d8198b73d96adbf99469823358a104049b70564dd41b5dec76,true,accepted
2,2,0,right,1001,SAFE,SAFE,unchanged-safe,56632691,56632176,8,16,1310720,16,8,0.10,2.93,3.03,0.79,16334848,324780032,324780032,270581760,bsd,8880f1ac6b8f62d8198b73d96adbf99469823358a104049b70564dd41b5dec76,true,accepted
2,3,0,right,1003,SAFE,UNSAFE,safe-to-unsafe,56632691,56632176,8,16,1310720,16,8,0.10,2.93,3.03,0.79,16334848,324780032,324780032,270581760,bsd,8880f1ac6b8f62d8198b73d96adbf99469823358a104049b70564dd41b5dec76,true,accepted
