kind,phase,guard,relation,horizon,result,bad_frame,certificate_bytes,verified,status,abstract_state_bits,concrete_state_nodes,concrete_state_bits
relation,6,opposite_tracked_invert,equal,8,UNSAFE,6,173,true,accepted,10,33,69
relation,6,opposite_tracked_invert,different,8,UNSAFE,6,173,true,accepted,10,33,69
relation,7,both_unwritten,equal,8,UNSAFE,7,173,true,accepted,10,33,69
relation,7,both_unwritten,different,8,UNSAFE,7,173,true,accepted,10,33,69
relation,7,same_tracked_config,equal,8,UNSAFE,7,173,true,accepted,10,33,69
relation,7,same_tracked_config,different,8,UNSAFE,7,173,true,accepted,10,33,69
relation,7,opposite_tracked_invert,equal,8,UNSAFE,7,173,true,accepted,10,33,69
relation,7,opposite_tracked_invert,different,8,UNSAFE,7,173,true,accepted,10,33,69
relation,8,both_unwritten,equal,8,UNSAFE,8,173,true,accepted,10,33,69
relation,8,both_unwritten,different,8,UNSAFE,8,173,true,accepted,10,33,69
relation,8,same_tracked_config,equal,8,UNSAFE,8,173,true,accepted,10,33,69
relation,8,same_tracked_config,different,8,UNSAFE,8,173,true,accepted,10,33,69
relation,8,opposite_tracked_invert,equal,8,UNSAFE,8,173,true,accepted,10,33,69
relation,8,opposite_tracked_invert,different,8,UNSAFE,8,173,true,accepted,10,33,69
