kind,width,horizon,variables,clauses,queries,checkpoint,node_limit,recognition_ns,bdd_nodes,global_clauses,average_global_width,theory_clauses,theory_conflicts,average_learned_width,max_learned_width,theory_ns_per_query,full_cdcl_ns_per_query,speedup_vs_full,break_even_queries,sat_queries,unsat_queries,agreement,witnesses_valid,status
cascade4,9,137,1242,19728,50,10,200000,40900458,51664,134,6.276,18,2,5.000,5,3906257.500,9945815.000,2.546124,6.772,38,12,true,true,ok
cascade4,9,1333,12006,191952,50,10,200000,60439666,51664,134,6.276,0,0,0.000,0,66995928.340,79693049.180,1.189521,4.760,44,6,true,true,ok
