schema_version,model,bad_property,horizon,expected,actual,backend,explicit_bytes,portfolio_bytes,byte_reduction_percent,verified,status
1,motion-envelope,21,200,SAFE,SAFE,motion-curve,624272,358,99.94,true,ok
1,motion-envelope,21,201,UNSAFE,UNSAFE,explicit-search,418,418,0.00,true,ok
1,servo-motion,21,128,SAFE,SAFE,motion-curve,253928,358,99.86,true,ok
1,servo-motion,21,129,UNSAFE,UNSAFE,explicit-search,346,346,0.00,true,ok
1,semi-implicit,21,3,SAFE,SAFE,explicit-search,518,518,0.00,true,ok
1,semi-implicit,21,4,UNSAFE,UNSAFE,explicit-search,217,217,0.00,true,ok
