kind,width,horizon,variables,clauses,queries,checkpoint,node_limit,encoding,recognition_ns,bdd_prefix_nodes,encoding_nodes,encoding_clauses,checkpoint_ns_per_query,full_cdcl_ns_per_query,speedup_vs_full,sat_queries,unsat_queries,agreement,witnesses_valid,status
cascade4,9,137,1242,19728,50,10,200000,lazy-bdd,25567333,41299,1252,5008,17628395.840,21099277.500,1.196892,38,12,true,true,ok
cascade4,9,1333,12006,191952,50,10,200000,lazy-bdd,129939500,41299,855,3420,119122710.840,80012092.500,0.671678,44,6,true,true,ok
