schema_version,fixture,os,arch,raw_bytes,envelope_bytes,qatq_payload_bytes,ratio_to_raw,max_values_per_chunk,trials,encode_min_ns,encode_median_ns,encode_max_ns,decode_min_ns,decode_median_ns,decode_max_ns,canonical_sha256,envelope_sha256,deterministic,bit_identical,zstd_22_long_27_bytes,qatq_smaller_than_zstd_percent,status
1,revision-batch,macos,aarch64,14164144,82428,82324,0.005819483,1048576,5,131387375,133008167,135573167,38847583,39104250,39608584,cba7640709163f7d9ca5c908d87b2fb843f148dd0d514bfd345b188e640ca9c9,42f30367e3b1003bec6c95395d91b800a88eb76721fed9c46548a27f79dff6ee,true,true,116769,29.409347,measured
1,maintained-proof-package,macos,aarch64,104448,4996,4892,0.047832414,1048576,5,1068750,1089041,1093167,297125,309458,335250,e3e21b3b7fd46321fb173e78a2105ff8e2f036f6adb0f150d4df737cb880b9c2,91d3eb9ea380877ef85e95f0f829fe7666703ce4406a769b2dad52717cdf92e9,true,true,2884,-73.231623,measured
